ID,NAME,PROVINCE,LATITUDE,LONGITUDE,ELEVATION,HOURLY_FIRST_DAY, HOURLY_LAST_DAY, DAILY_FIRST_DAY, DAILY_LAST_DAY,MONTHLY_FIRST_DAY, MONTHLY_LAST_DAY
10700,(AE) BOW SUMMIT,ALTA,51.7,-116.466666666667,2080,null,null,1998-02-01,2007-11-30,1998-04-01,2007-11-01
625,100 MILE HOUSE,BC,51.65,-121.266666666667,929.6,null,null,1957-06-01,1959-08-31,1957-01-01,1959-12-01
1308,100 MILE HOUSE,BC,51.64695,-121.302516666667,1059.2,null,null,1970-05-01,1999-11-30,1970-01-01,1999-11-01
1309,100 MILE HOUSE 6NE,BC,51.6813888888889,-121.216944444444,928,null,null,1987-06-01,2013-12-28,1987-01-01,2007-02-01
626,108 MILE HOUSE,BC,51.75,-121.333333333333,957.1,null,null,1970-05-01,1973-07-31,1970-01-01,1973-12-01
559,108 MILE HOUSE ABEL LAKE,BC,51.7048333333333,-121.404166666667,993.9,null,null,1987-07-01,2013-12-18,1987-01-01,2007-02-01
1224,108 MILE HOUSE WATSON LAKE,BC,51.7,-121.333333333333,890,null,null,1987-07-01,1989-12-31,1987-01-01,1989-12-01
627,150 MILE HOUSE,BC,52.1166666666667,-121.933333333333,737.6,null,null,1947-10-01,1963-09-30,1947-01-01,1963-12-01
628,150 MILE HOUSE 7N,BC,52.2166666666667,-122,883.9,null,null,1969-01-01,1975-01-31,1969-01-01,1975-12-01
6755,26 MILE DEPOT,NFLD,48.4166666666667,-57.0666666666667,266.7,null,null,1962-01-01,1962-11-30,1962-01-01,1962-12-01
1321,70 MILE HOUSE,BC,51.3,-121.4,1079.9,null,null,1974-05-01,1987-06-30,1974-01-01,1987-12-01
3066,ABBEY,SASK,50.7,-108.783333333333,694.9,null,null,1956-05-01,2008-01-31,1956-01-01,2007-11-01
701,ABBOTSFORD,BC,49.0166666666667,-122.333333333333,0,null,null,1956-04-01,1956-12-31,1956-01-01,1956-12-01
702,ABBOTSFORD A,BC,49.0252777777778,-122.36,59.1,1953-01-01,2012-06-21,1944-10-01,2012-06-20,1944-01-01,2012-05-01
